SALES_ID,ITEMS,UNIT_PRICE,QTY,DISCOUNT,PRICE,NOTES,TIME
0,reserved,0.0,0,0.0,0.0,reserved,
1,ABRO 1 LITRE,2750,1,0.0,2800.0,,2024-02-15 07:50:22.564329
